"","year","state","median_income"
"1","2013","04000US01","43253"
"2","2013","04000US02","70760"
"3","2013","04000US04","49774"
"4","2013","04000US05","40768"
"5","2013","04000US06","61094"
"6","2013","04000US08","58433"
"7","2013","04000US09","69461"
"8","2013","04000US10","59878"
"9","2013","04000US11","65830"
"10","2013","04000US12","46956"
"11","2013","04000US13","49179"
"12","2013","04000US15","67402"
"13","2013","04000US16","46767"
"14","2013","04000US17","56797"
"15","2013","04000US18","48248"
"16","2013","04000US19","51843"
"17","2013","04000US20","51332"
"18","2013","04000US21","43036"
"19","2013","04000US22","44874"
"20","2013","04000US23","48453"
"21","2013","04000US24","73538"
"22","2013","04000US25","66866"
"23","2013","04000US26","48411"
"24","2013","04000US27","59836"
"25","2013","04000US28","39031"
"26","2013","04000US29","47380"
"27","2013","04000US30","46230"
"28","2013","04000US31","51672"
"29","2013","04000US32","52800"
"30","2013","04000US33","64916"
"31","2013","04000US34","71629"
"32","2013","04000US35","44927"
"33","2013","04000US36","58003"
"34","2013","04000US37","46334"
"35","2013","04000US38","53741"
"36","2013","04000US39","48308"
"37","2013","04000US40","45339"
"38","2013","04000US41","50229"
"39","2013","04000US42","52548"
"40","2013","04000US44","56361"
"41","2013","04000US45","44779"
"42","2013","04000US46","49495"
"43","2013","04000US47","44298"
"44","2013","04000US48","51900"
"45","2013","04000US49","58821"
"46","2013","04000US50","54267"
"47","2013","04000US51","63907"
"48","2013","04000US53","59478"
"49","2013","04000US54","41043"
"50","2013","04000US55","52413"
"51","2013","04000US56","57406"
"52","2013","04000US72","19624"
"53","2014","04000US01","43511"
"54","2014","04000US02","71829"
"55","2014","04000US04","49928"
"56","2014","04000US05","41264"
"57","2014","04000US06","61489"
"58","2014","04000US08","59448"
"59","2014","04000US09","69899"
"60","2014","04000US10","60231"
"61","2014","04000US11","69235"
"62","2014","04000US12","47212"
"63","2014","04000US13","49342"
"64","2014","04000US15","68201"
"65","2014","04000US16","47334"
"66","2014","04000US17","57166"
"67","2014","04000US18","48737"
"68","2014","04000US19","52716"
"69","2014","04000US20","51872"
"70","2014","04000US21","43342"
"71","2014","04000US22","44991"
"72","2014","04000US23","48804"
"73","2014","04000US24","74149"
"74","2014","04000US25","67846"
"75","2014","04000US26","49087"
"76","2014","04000US27","60828"
"77","2014","04000US28","39464"
"78","2014","04000US29","47764"
"79","2014","04000US30","46766"
"80","2014","04000US31","52400"
"81","2014","04000US32","52205"
"82","2014","04000US33","65986"
"83","2014","04000US34","72062"
"84","2014","04000US35","44968"
"85","2014","04000US36","58687"
"86","2014","04000US37","46693"
"87","2014","04000US38","55579"
"88","2014","04000US39","48849"
"89","2014","04000US40","46235"
"90","2014","04000US41","50521"
"91","2014","04000US42","53115"
"92","2014","04000US44","56423"
"93","2014","04000US45","45033"
"94","2014","04000US46","50338"
"95","2014","04000US47","44621"
"96","2014","04000US48","52576"
"97","2014","04000US49","59846"
"98","2014","04000US50","54447"
"99","2014","04000US51","64792"
"100","2014","04000US53","60294"
"101","2014","04000US54","41576"
"102","2014","04000US55","52738"
"103","2014","04000US56","58252"
"104","2014","04000US72","19686"
"105","2015","04000US02","72515"
"106","2015","04000US01","43623"
"107","2015","04000US05","41371"
"108","2015","04000US04","50255"
"109","2015","04000US06","61818"
"110","2015","04000US08","60629"
"111","2015","04000US09","70331"
"112","2015","04000US11","70848"
"113","2015","04000US10","60509"
"114","2015","04000US12","47507"
"115","2015","04000US13","49620"
"116","2015","04000US15","69515"
"117","2015","04000US19","53183"
"118","2015","04000US16","47583"
"119","2015","04000US17","57574"
"120","2015","04000US18","49255"
"121","2015","04000US20","52205"
"122","2015","04000US21","43740"
"123","2015","04000US22","45047"
"124","2015","04000US25","68563"
"125","2015","04000US24","74551"
"126","2015","04000US23","49331"
"127","2015","04000US26","49576"
"128","2015","04000US27","61492"
"129","2015","04000US29","48173"
"130","2015","04000US28","39665"
"131","2015","04000US30","47169"
"132","2015","04000US37","46868"
"133","2015","04000US38","57181"
"134","2015","04000US31","52997"
"135","2015","04000US33","66779"
"136","2015","04000US34","72093"
"137","2015","04000US35","44963"
"138","2015","04000US32","51847"
"139","2015","04000US36","59269"
"140","2015","04000US39","49429"
"141","2015","04000US40","46879"
"142","2015","04000US41","51243"
"143","2015","04000US42","53599"
"144","2015","04000US72","19350"
"145","2015","04000US44","56852"
"146","2015","04000US45","45483"
"147","2015","04000US46","50957"
"148","2015","04000US47","45219"
"149","2015","04000US48","53207"
"150","2015","04000US49","60727"
"151","2015","04000US51","65015"
"152","2015","04000US50","55176"
"153","2015","04000US53","61062"
"154","2015","04000US55","53357"
"155","2015","04000US54","41751"
"156","2015","04000US56","58840"
"157","2016","04000US01","44758"
"158","2016","04000US02","74444"
"159","2016","04000US04","51340"
"160","2016","04000US05","42336"
"161","2016","04000US06","63783"
"162","2016","04000US08","62520"
"163","2016","04000US09","71755"
"164","2016","04000US10","61017"
"165","2016","04000US11","72935"
"166","2016","04000US12","48900"
"167","2016","04000US13","51037"
"168","2016","04000US15","71977"
"169","2016","04000US16","49174"
"170","2016","04000US17","59196"
"171","2016","04000US18","50433"
"172","2016","04000US19","54570"
"173","2016","04000US20","53571"
"174","2016","04000US21","44811"
"175","2016","04000US22","45652"
"176","2016","04000US23","50826"
"177","2016","04000US24","76067"
"178","2016","04000US25","70954"
"179","2016","04000US26","50803"
"180","2016","04000US27","63217"
"181","2016","04000US28","40528"
"182","2016","04000US29","49593"
"183","2016","04000US30","48380"
"184","2016","04000US31","54384"
"185","2016","04000US32","53094"
"186","2016","04000US33","68485"
"187","2016","04000US34","73702"
"188","2016","04000US35","45674"
"189","2016","04000US36","60741"
"190","2016","04000US37","48256"
"191","2016","04000US38","59114"
"192","2016","04000US39","50674"
"193","2016","04000US40","48038"
"194","2016","04000US41","53270"
"195","2016","04000US42","54895"
"196","2016","04000US44","58387"
"197","2016","04000US45","46898"
"198","2016","04000US46","52078"
"199","2016","04000US47","46574"
"200","2016","04000US48","54727"
"201","2016","04000US49","62518"
"202","2016","04000US50","56104"
"203","2016","04000US51","66149"
"204","2016","04000US53","62848"
"205","2016","04000US54","42644"
"206","2016","04000US55","54610"
"207","2016","04000US56","59143"
"208","2016","04000US72","19606"
